id_video,id_komentar,text_original,author_name,id_author,like_count,published_at
b0yw06rMBAY,Ugy8GijvPgZf3lTkk5V4AaABAg,32:06,@bocilkurangkasihsayang11,UCEIpnVqVvth-ozsDx4_9nNA,0,2025-06-27T03:23:02Z
b0yw06rMBAY,UgyiMbEobP9cKPHcMZB4AaABAg,lanjutin peak bangg,@azhardzimara2360,UCXgL23k3GCFdsaFM0GtcsuQ,0,2025-06-27T03:22:27Z
b0yw06rMBAY,Ugx4L58WaCEf61vqJX14AaABAg,Bang main Kindergarten 3,@yohanaratri7617,UCIprNd7FvJCr7sdmjJfa2YA,1,2025-06-27T03:20:10Z
b0yw06rMBAY,UgzoYPsCZlMb9PU5Prh4AaABAg,Nama gamenya apa ya.,@jambrutcencen1245,UC1VlkYfCjtQuM9eW2iPzkhw,0,2025-06-27T03:20:03Z
b0yw06rMBAY,UgyHNL1SSGYrdENXpo54AaABAg,download game nya di mana?,@luriahkmc,UCN2AzsgutXTdsywma8lHAdA,0,2025-06-27T03:19:55Z
b0yw06rMBAY,Ugxqi5y-RVWSqi6HijB4AaABAg,Nangis gw bg😭😭,@Spitzzz1,UCs4cgF7uYaX9X9qRbiyMNFQ,0,2025-06-27T03:19:55Z
b0yw06rMBAY,Ugy9YljVwJK3PZPTXbh4AaABAg,"please gusy, stop judii!!!😔😔",@siapasangka-i3e,UCIjGWjH6RKCtwCDY0-jHw9g,0,2025-06-27T03:19:39Z
b0yw06rMBAY,UgznhCKfxnbJJofyA8x4AaABAg,game ter ngeri di indo😖,@ar-rahman11,UCgGX8biKllwP2HwG4bgNPDA,0,2025-06-27T03:18:39Z
b0yw06rMBAY,UgxBnn9TW9tT0rnsPUx4AaABAg,"Alhamdulillah gw udah berhenti judi, gw bukan maen slot tpi judi bola gitu kira kira abis 1jt+ tapi Alhamdulillah sekarang dah berhenti😊",@FreshMailml,UCqNRfnx1urdqn91CRbMPfQw,0,2025-06-27T03:18:33Z
b0yw06rMBAY,UgzaBoNxADcjzUTaNud4AaABAg,absolute game ✋🏻🙂‍↕️🤚🏻,@bueery,UC5KcQKqJiEUHFruvD4ws50g,1,2025-06-27T03:18:27Z
b0yw06rMBAY,UgzJQjDTWUY7N7dvUe14AaABAg,"W pikabuu, W brando",@nanaraisaa,UCeMAkFCRZTMNw6PnQo6xlTQ,1,2025-06-27T03:18:11Z
b0yw06rMBAY,UgxOEo8nK-d36Ykcyd14AaABAg,1:05:18 AKWOAKAKKWOAKAK😂,@andraajA10,UCd-DPZo4D0jviPPhX-iwTqQ,0,2025-06-27T03:18:10Z
b0yw06rMBAY,UgxcFpRmnZpgwXYtDax4AaABAg,Trending 1 banggg,@nazwa9005,UCvbXqnqnK2A9HcvCDNtuVEw,0,2025-06-27T03:17:25Z
b0yw06rMBAY,Ugz-sP6etPwZBq4DjXJ4AaABAg,GAME OF THE YEAR INDONESIA LET'S GOO,@Cihuuuyyyy-p4r,UCjQFP_-m3fva47EwNKSzMqA,1,2025-06-27T03:16:38Z
b0yw06rMBAY,Ugy9erOcth34iE2j1z14AaABAg,Ekspresi bang windah penjudol banget itu 🤣🤣🤣,@angghietssetiawan6408,UChz8lG2vsFVprTSrGtmSE1Q,0,2025-06-27T03:16:05Z
b0yw06rMBAY,UgxEj95wolwxu--w_ih4AaABAg,gimana caranya bikin orng pecandu judi berhenti 😢😢,@davinaofficial6859,UCr_tfSLhygFPm4U0ZPyuQWg,0,2025-06-27T03:15:51Z
b0yw06rMBAY,Ugz-q5zFzdF5B52k5XJ4AaABAg,Squid game season 3 bakalan liris😎,@tirtageming5958,UCDWvasBT-iBQOGlbSr-P-9g,1,2025-06-27T03:14:40Z
b0yw06rMBAY,UgwutGP3N9XnpAiKTTZ4AaABAg,Wah gila bang pikabu brutal minded,@scarlagaoo5755,UCUh9_bIj9cvEhSkPPgYAYiA,1,2025-06-27T03:14:16Z
b0yw06rMBAY,UgxSwi3pL8kgNqb3IUl4AaABAg,Pokoknya seru game dari Bang joykeratif gg pokonya,@adamp_pp,UChYbp3qh2y3mGCzE8IRIeuA,1,2025-06-27T03:13:58Z
b0yw06rMBAY,Ugy_a245kcgJaRiUPWt4AaABAg,aku nangis bang liat ending terakhir,@zahra-z6g9c,UCgEKFLr9eBJcvxhQOkhd1SA,0,2025-06-27T03:12:20Z
